Iterations,VectorLen,DataLen,Rtime,CUDAtime
1,22,10000,0.4354,0.04102898
2,22,10000,0.8098977,0.03076744
5,22,10000,1.978465,0.03378987
10,22,10000,3.969803,0.02850699
20,22,10000,7.784835,0.04359555
50,22,10000,19.35878,0.05043364
100,22,10000,38.73363,0.06116509
200,22,10000,77.42256,0.06459475
500,22,10000,193.40874,0.1115279
1000,22,10000,384.81852,0.1761158
2000,22,10000,774.678,0.3194363
5000,22,10000,1940.6316,0.7546275
100100,22,10000,22940.7876,14.24079
200100,22,10000,48393.504,29.2746
300100,22,10000,74255.184,43.63807
1000000,22,10000,420693.6,142.8524
